48,41.9991,8.9368,5.07,5.43,6.45,8.52,11.63,16.24,19.23,19.14,16.61,12.76,9.14,5.81
49,41.993,9.0327,4.13,4.25,5.41,7.51,10.62,15.52,18.29,18.39,15.53,11.67,8.26,4.86
50,41.9869,9.1286,2.07,2.08,3.24,5.33,8.84,13.64,16.52,16.4,13.51,9.58,6.05,2.9
51,41.9806,9.2245,4.59,4.72,5.69,7.8,11.29,15.81,18.93,18.74,16.22,12.13,8.45,5.24
52,41.9743,9.3203,8.67,9.01,10.22,12.26,15.26,19.45,22.65,22.79,20.5,16.4,12.65,9.39
53,42.0883,8.6568,8.56,8.86,10.14,12.19,15.25,19.22,22.11,21.98,20.1,16.31,12.41,9.26
54,42.0825,8.7528,7.88,8.21,9.44,11.34,14.32,18.33,21.21,20.99,19.4,15.67,11.89,8.64
55,42.0766,8.8489,6.88,7.23,8.4,10.36,13.36,17.77,20.67,20.48,18.43,14.64,10.9,7.64
56,42.0706,8.9449,6.59,6.9,8.13,10.09,13,17.61,20.48,20.21,18.1,14.28,10.69,7.31
57,42.0646,9.0409,4.32,4.34,5.71,7.62,10.81,15.8,18.46,18.37,15.62,11.89,8.49,5.05
58,42.0584,9.1369,2.17,2.19,3.3,5.4,8.93,13.67,16.58,16.46,13.52,9.61,6.1,3
59,42.0522,9.2329,5.02,5.24,6.16,8.3,11.75,16.19,19.29,19.1,16.69,12.62,8.88,5.65
60,42.0458,9.3288,9.13,9.47,10.7,12.8,15.85,20.05,23.22,23.35,20.97,16.83,13.07,9.86
61,42.0394,9.4248,9.67,10.02,11.26,13.43,16.59,20.71,23.93,24.06,21.56,17.34,13.54,10.43
62,42.3488,1.9977,-0.84,-0.34,0.74,3.01,6.09,10.66,13.73,13.64,10.98,6.71,2.53,-0.07
63,42.3492,2.4818,2.95,3.37,4.74,7.31,10.6,14.73,17.97,18.02,15.06,10.65,6.39,3.79
64,42.349,2.5786,3.75,4.77,6.1,8.47,11.7,15.78,19.02,19.4,16.25,11.81,7.47,4.71
65,42.3488,2.6754,4.95,5.94,7.44,9.77,12.94,17.03,20.18,20.55,17.4,13,8.7,5.89
66,42.1656,8.5683,8.45,8.75,10.03,12.06,15.1,19.08,21.97,21.83,19.99,16.21,12.32,9.15
67,42.1599,8.6645,6.99,7.3,8.44,10.39,13.4,17.49,20.51,20.36,18.52,14.73,10.91,7.68
68,42.1541,8.7607,7.21,7.53,8.87,10.69,13.49,18.27,20.8,20.72,18.62,15,11.44,7.92
69,42.1482,8.8569,5.45,5.83,6.89,8.9,11.99,16.72,19.52,19.45,16.99,13.2,9.59,6.22
70,42.1422,8.953,5.21,5.38,6.59,8.66,11.66,16.54,19.32,19.18,16.63,12.84,9.37,5.92
71,42.1361,9.0491,2.06,2.04,3.05,5.23,8.78,13.57,16.58,16.36,13.32,9.52,6.04,2.73
72,42.1299,9.1452,4.41,4.39,5.66,7.65,10.86,15.83,18.6,18.42,15.53,11.93,8.58,4.99
73,42.1237,9.2413,6.01,6.48,7.26,9.45,12.85,16.84,19.92,20.29,17.77,13.64,9.89,6.7
74,42.1173,9.3374,8.39,8.76,9.87,11.97,14.95,19.04,22.32,22.41,20.19,16.18,12.34,9.12
75,42.1109,9.4334,9.6,9.99,11.14,13.38,16.51,20.6,23.83,23.91,21.44,17.3,13.44,10.37
76,42.1044,9.5295,9.77,10.16,11.3,13.57,16.74,20.79,24.06,24.13,21.63,17.46,13.58,10.54
77,42.4206,1.9973,1.21,1.69,3.37,5.62,8.7,13.24,16.33,16.25,13.35,8.98,4.74,1.96
78,42.4208,2.0942,-2.4,-2.37,-1.38,0.97,4.03,8.23,11.7,11.86,8.98,4.92,0.87,-1.29
79,42.421,2.1912,-3.51,-3.46,-2.94,-0.55,2.5,6.69,10.17,10.33,7.62,3.63,-0.4,-2.33
80,42.4211,2.3851,-0.1,0.36,1.02,3.64,6.96,11.06,14.29,14.34,11.66,7.38,3.17,0.8
81,42.421,2.482,2.43,2.85,4.12,6.7,10.01,14.14,17.4,17.45,14.52,10.11,5.85,3.28
82,42.4209,2.5789,4.8,5.8,7.27,9.61,12.79,16.87,20.04,20.42,17.26,12.85,8.55,5.75
83,42.4206,2.6759,3.84,4.85,6.2,8.56,11.8,15.87,19.11,19.49,16.34,11.89,7.56,4.8
84,42.4202,2.7728,4.78,5.98,7.19,9.6,12.88,16.73,20.1,20.69,17.34,12.83,8.49,5.69
85,42.2315,8.6723,6.62,6.95,8.02,10.01,13.09,17.19,20.28,20.14,18.16,14.35,10.52,7.33
86,42.2256,8.7686,5.45,5.83,6.89,8.9,11.99,16.72,19.52,19.45,16.99,13.2,9.59,6.22
87,42.2197,8.8649,3.28,3.74,4.5,6.74,10.18,14.72,17.81,17.73,15.04,11.04,7.29,4.17
88,42.2137,8.9611,0.6,0.84,1.45,3.9,7.46,11.93,15.13,14.95,12.15,8.1,4.43,1.51
89,42.2076,9.0574,0.57,0.56,1.38,3.62,7.22,11.96,14.98,14.76,11.78,8,4.5,1.26
90,42.2015,9.1536,6.3,6.28,7.8,9.62,12.57,17.61,20.15,19.98,17.3,13.86,10.59,6.84
91,42.1952,9.2498,7.58,8.02,9.19,11.25,14.34,18.52,21.37,21.68,19.26,15.28,11.55,8.24
92,42.1889,9.346,8.15,8.53,9.61,11.71,14.68,18.74,22.06,22.15,19.96,15.95,12.11,8.89
93,42.1824,9.4421,9.25,9.64,10.86,13.03,16.11,20.19,23.46,23.53,20.88,16.87,13.16,9.99
94,42.4897,1.5116,0.23,0.58,2.14,4.67,7.86,11.66,15.34,15.84,12.64,7.89,3.5,1.13
95,42.4905,1.6087,-3.07,-2.66,-2.1,0.46,3.65,7.56,11.23,11.69,8.89,4.27,-0.09,-2.08
96,42.4911,1.7057,-3.81,-4.01,-2.9,-0.9,2.27,7.32,9.63,9.86,7.49,3.32,-0.63,-2.65
97,42.4916,1.8028,-2.22,-2.17,-1.26,1.42,4.38,8.3,12.06,12.25,9.44,5.07,0.89,-1.04
98,42.4921,1.8998,-1.24,-1.2,-0.1,2.55,5.49,9.43,13.19,13.38,10.46,6.08,1.92,-0.09
